symbol,name,series
BOROSCI,Borosil Scientific Limited,EQ
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ
BOSCHLTD,Bosch Limited,EQ
BPCL,Bharat Petroleum Corporation Limited,EQ
BPL,BPL Limited,EQ
BPLPHARMA,Bharat Parenterals Limited,EQ
BRAHMINFRA,Brahmaputra Infrastructure Limited,EQ
BRIGADE,Brigade Enterprises Limited,EQ
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ
BRIGHTBR,Bright Brothers Limited,EQ
BRITANNIA,Britannia Industries Limited,EQ
BRNL,Bharat Road Network Limited,EQ
BROOKS,Brooks Laboratories Limited,EQ
BSE,BSE Limited,EQ
BSHSL,Bombay Super Hybrid Seeds Limited,EQ
BSL,BSL Limited,EQ
BSOFT,BIRLASOFT LIMITED,EQ
BTML,Bodhi Tree Multimedia Limited,EQ
BUILDPRO,Shankara Buildpro Limited,EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ
BVCL,Barak Valley Cements Limited,EQ
BYKE,The Byke Hospitality Ltd,EQ
CAMLINFINE,Camlin Fine Sciences Limited,EQ
CAMPUS,Campus Activewear Limited,EQ
CAMS,Computer Age Management Services Limited,EQ
CANBK,Canara Bank,EQ
CANFINHOME,Can Fin Homes Limited,EQ
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ
CANTABIL,Cantabil Retail India Limited,EQ
CAPACITE,Capacit'e Infraprojects Limited,EQ
CAPILLARY,Capillary Technologies India Limited,EQ
CAPITALSFB,Capital Small Finance Bank Limited,EQ
CAPLIPOINT,Caplin Point Laboratories Limited,EQ
CARBORUNIV,Carborundum Universal Limited,EQ
CARERATING,CARE Ratings Limited,EQ
CARRARO,Carraro India Limited,EQ
CARTRADE,Cartrade Tech Limited,EQ
CARYSIL,CARYSIL LIMITED,EQ
CASTROLIND,Castrol India Limited,EQ
CCAVENUE,AvenuesAI Limited,EQ
CCCL,Consolidated Construction Consortium Limited,EQ
CCHHL,Country Club Hospitality & Holidays Limited,EQ
CCL,CCL Products (India) Limited,EQ
CDSL,Central Depository Services (India) Limited,EQ
CEATLTD,CEAT Limited,EQ
CEIGALL,Ceigall India Limited,EQ
CEINSYS,Ceinsys Tech Limited,EQ
CELEBRITY,Celebrity Fashions Limited,EQ
CELLO,Cello World Limited,EQ
CEMPRO,Cemindia Projects Limited,EQ
CENTENKA,Century Enka Limited,EQ
CENTEXT,Century Extrusions Limited,EQ
CENTRALBK,Central Bank of India,EQ
CENTRUM,Centrum Capital Limited,EQ
CENTUM,Centum Electronics Limited,EQ
CENTURYPLY,Century Plyboards (India) Limited,EQ
CERA,Cera Sanitaryware Limited,EQ
CESC,CESC Limited,EQ
CEWATER,Concord Enviro Systems Limited,EQ
CGCL,Capri Global Capital Limited,EQ
CGPOWER,CG Power and Industrial Solutions Limited,EQ
CGVAK,CG Vak Software & Exports Limited,EQ
CHALET,Chalet Hotels Limited,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ
CHEMBOND,Chembond Material Technologies Limited,EQ
CHEMCRUX,Chemcrux Enterprises Limited,EQ
CHEMFAB,Chemfab Alkalis Limited,EQ
CHEMPLASTS,Chemplast Sanmar Limited,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ
CHEVIOT,Cheviot Company Limited,EQ
CHOICEIN,Choice International Limited,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ
CIEINDIA,CIE Automotive India Limited,EQ
CIFL,Capital India Finance Limited,EQ
CINELINE,Cineline India Limited,EQ
CINEVISTA,Cinevista Limited,EQ
CIPLA,Cipla Limited,EQ
CLEAN,Clean Science and Technology Limited,EQ
CLEANMAX,Clean Max Enviro Energy Solutions Limited,EQ
CLEDUCATE,CL Educate Limited,EQ
CLSEL,Chaman Lal Setia Exports Limited,EQ
CMLL,Caliber Mining and Logistics Limited,EQ
CMPDI,Central Mine Planning & Design Institute Limited,EQ
CMRGREEN,CMR Green Technologies Limited,EQ
CMSINFO,CMS Info Systems Limited,EQ
CNL,Creative Newtech Limited,EQ
COALINDIA,Coal India Limited,EQ
COASTCORP,Coastal Corporation Limited,EQ
COCHINSHIP,Cochin Shipyard Limited,EQ
COCKERILL,John Cockerill India Limited,EQ
COFFEEDAY,Coffee Day Enterprises Limited,EQ
COFORGE,Coforge Limited,EQ
